Shape *,OBJECTID_1,objectid,cenefa_par,mdoulo_par,zona_parad,nombre_par,direccion_,localidad_,consola_pa,panel_para,audio_para,Latitud,Longitud,Nombre_Localidad,Nombre_Zona,Localidad
Point,7066,64353,607A11,A,11,Br. Olaya,KR 19C - CL 22 Sur,18,KR 19C - CL 22 Sur (607A11),KR 19C - CL 22 Sur,Carrera 19 Calle 22 Sur,4.582861,-74.104686,Rafael Uribe Uribe,11,Rafael Uribe Uribe
Point,7067,64354,607B03,B,3,Urb. Los Campos,CL 139 - KR 129,11,CL 139 - KR 129 (607B03),CL 139 - KR 129,Calle 139 Carrera 129,4.746121,-74.110986,Suba,3,Suba
Point,7068,64355,608A00,A,0,Parque de los Periodistas,KR 4 - CL 17,3,KR 4 - CL 17 (608A00),KR 4 - CL 17,Carrera Cuarta Calle 17,4.602111,-74.069528,Santa Fe,0,Santa Fe
Point,7069,64356,608A01,A,1,Br. Soratama CL 167,CL 167 - KR 5,1,CL 167 - KR 5 (608A01),CL 167 - KR 5,Calle 167 Carrera Quinta,4.743323,-74.020888,Usaquén,1,Usaquén
Point,7070,64357,608A03,A,3,IED José María Velaz,KR 131 - CL 133,11,KR 131 - CL 133 (608A03),KR 131 - CL 133,Carrera 131 Calle 133,4.744232,-74.112723,Suba,3,Suba
Point,7071,64358,608A08,A,8,Br. Las Américas,KR 70B - CL 4,8,KR 70B - CL 4 (608A08),KR 70B - CL 4,Carrera 70 Be Calle Cuarta,4.62671,-74.13213,Kennedy,8,Kennedy
Point,7072,64359,608A09,A,9,Br. El Limonar,KR 80K - CL 63 Sur,7,KR 80K - CL 63 Sur (608A09),KR 80K - CL 63 Sur,Carrera 80 K Calle 63 Sur,4.611065,-74.185648,Bosa,9,Bosa
Point,7073,64360,609A01,A,1,Br. La Emilia,CL 151 - KR 12C,1,CL 151 - KR 12C (609A01),CL 151 - KR 12C,Calle 151 Carrera 12 C,4.730144,-74.035961,Usaquén,1,Usaquén
Point,7074,64361,609A03,A,3,Urb. Los Campos,KR 129 - CL 138,11,KR 129 - CL 138 (609A03),KR 129 - CL 138,Carrera 129 - Calle 138,4.745645,-74.111375,Suba,3,Suba
Point,7075,64362,609A08,A,8,Br. El Paraíso Bosa,CL 38 Sur - KR 89C,8,CL 38 Sur - KR 89C (609A08),CL 38 Sur - KR 89C,Calle 38 Sur Carrera 89 C,4.641031,-74.167903,Kennedy,8,Kennedy
Point,7076,64363,609A11,A,11,Arabia,KR 18G - CL 82C Sur,19,KR 18G - CL 82C Sur (609A11),KR 18G - CL 82C Sur,Carrera 18 G Calle 82 C Sur,4.531628,-74.146588,Ciudad Bolivar,11,Ciudad Bolivar
Point,7077,64364,610A01,A,1,Br. Santa Teresa,CL 167D - AK7,1,CL 167D - AK7 (610A01),CL 167D - AK7,Calle 167 D Avenida Carrera7,4.744866,-74.02329,Usaquén,1,Usaquén
Point,7078,64365,610A03,A,3,Urb. Rodesia I Etapa,KR 136A - CL 145,11,KR 136A - CL 145 (610A03),KR 136A - CL 145,Carrera 136 A Calle 145,4.755071,-74.108545,Suba,3,Suba
Point,7079,64366,610A08,A,8,Br. Calandaima Los Pantanos,KR 93D  CL 0,8,KR 93D  CL 0 (610A08),KR 93D  CL 0,Carrera 93 D Calle 0,4.648419,-74.167488,Kennedy,8,Kennedy
Point,7080,64367,610A09,A,9,Br. Class,AV. A. Mejía  - CL 57 Sur,8,AV. A. Mejía  - CL 57 Sur (610A09),AV. A. Mejía  - CL 57 Sur,Avenida Agoberto Mejía Calle 57 Sur,4.613553,-74.175957,Kennedy,9,Kennedy
Point,7081,64368,610B09,B,9,Br. Class,AV. A. Mejía  - CL 56 Sur,8,AV. A. Mejía  - CL 56 Sur (610B09),AV. A. Mejía  - CL 56 Sur,Avenida Agoberto Mejía Calle 56 Sur,4.613842,-74.175638,Kennedy,9,Kennedy
Point,7082,64369,611A00,A,0,Br. Las Aguas,KR 2A - CL 18A,17,KR 2A - CL 18A (611A00),KR 2A - CL 18A,Carrera Segunda A Calle 18 A,4.60178,-74.067571,La Candelaria,0,La Candelaria
Point,7083,64370,611A01,A,1,Br. Santa Teresa,CL 167D - KR 7F,1,CL 167D - KR 7F (611A01),CL 167D - KR 7F,Calle 167 D Carrera Séptima F,4.745009,-74.02517,Usaquén,1,Usaquén
Point,7084,64371,611A03,A,3,Br. Compartir Suba,KR 128 - DG 146,11,KR 128 - DG 146 (611A03),KR 128 - DG 146,Carrera 128 - Diagonal 146,4.755329,-74.106216,Suba,3,Suba
Point,7085,64372,611A08,A,8,Br. Patio Bonito II,AC 38 Sur - KR 87A,8,AC 38 Sur - KR 87A (611A08),AC 38 Sur - KR 87A,Avenida Calle 38 Sur Carrera 87 Bis,4.63647,-74.164388,Kennedy,8,Kennedy
Point,7086,64373,611A09,A,9,Br. Autopista Sur,AK 50 - CL 38B Sur,16,AK 50 - CL 38B Sur (611A09),AK 50 - CL 38B Sur,Avenida Carrera 50 - Calle 38 Be Sur,4.596846,-74.12599,Puente Aranda,9,Puente Aranda
Point,7087,64374,612A00,A,0,Br. Sagrado Corazón,CL 36 - AK 7,3,CL 36 - AK 7 (612A00),CL 36 - AK 7,Calle 36 Avenida Carrera Séptima,4.623763,-74.067283,Santa Fe,0,Santa Fe
Point,7088,64375,612A01,A,1,Br. Santa Teresa,CL 168 - KR 8C,1,CL 168 - KR 8C (612A01),CL 168 - KR 8C,Calle 168 Carrera Octava C,4.745646,-74.0274,Usaquén,1,Usaquén
Point,7089,64376,612A03,A,3,Urb. Hato Chico,KR 136A - DG 151,11,KR 136A - DG 151 (612A03),KR 136A - DG 151,Carrera 136 A Diagonal 151,4.756926,-74.106591,Suba,3,Suba
Point,7090,64377,612A08,A,8,Desarrollo la Florida IV Sector,KR 86A - CL 59A Sur,7,KR 86A - CL 59A Sur (612A08),KR 86A - CL 59A Sur,Carrera 86 A Calle 59 A Sur,4.620497,-74.18649,Bosa,8,Bosa
Point,7091,64378,612A09,A,9,Urb. Villa Sonia,AK 50 - CL 38B Sur,16,AK 50 - CL 38B Sur (612A09),AK 50 - CL 38B Sur,Avenida Carrera 50 - Calle 38 Be Sur,4.596536,-74.125835,Puente Aranda,9,Puente Aranda
Point,7092,64379,613A00,A,0,Br. La Salle,CL 62 - KR 3,2,CL 62 - KR 3 (613A00),CL 62 - KR 3,Calle 62 Carrera Tercera,4.645347,-74.057467,Chapinero,0,Chapinero
Point,7093,64380,613A01,A,1,Br. Santa Bárbara Central III Sector,AK 11 - CL 113,1,AK 11 - CL 113 (613A01),AK 11 - CL 113,Avenida Carrera 11 Calle 113,4.692483,-74.038223,Usaquén,1,Usaquén
Point,7094,64381,613A03,A,3,Br. Niza Sur,Av. Suba - CL 118,11,Av. Suba - CL 118 (613A03),Av. Suba - CL 118,Avenida Suba Calle 118,4.703929,-74.070889,Suba,3,Suba
Point,7095,64382,613A08,A,8,Urb. La Estancia,CL 2 - KR 31A,16,CL 2 - KR 31A (613A08),CL 2 - KR 31A,Calle Segunda Carrera 31 A,4.603247,-74.103688,Puente Aranda,8,Puente Aranda
Point,7096,64383,613A09,A,9,Br. Jiménez de Quesada II Sector,KR 81  DG 65A Sur,7,KR 81  DG 65A Sur (613A09),KR 81  DG 65A Sur,Carrera 81 Diagonal 65 A Sur,4.609884,-74.187995,Bosa,9,Bosa
Point,7097,64384,614A01,A,1,Br. Caobos Salazar,CL 151 - KR 12B,1,CL 151 - KR 12B (614A01),CL 151 - KR 12B,Calle 151 Carrera 12 Be,4.729482,-74.035052,Usaquén,1,Usaquén
Point,7098,64385,614A03,A,3,Br. Villa Lorena,AV. Suba - KR 84A,11,AV. Suba - KR 84A (614A03),AV. Suba - KR 84A,Avenida Suba Carrera 84 A,4.736847,-74.082093,Suba,3,Suba
Point,7099,64386,614A08,A,8,Pq. Sotavento,CL 2 - KR 32A,16,CL 2 - KR 32A (614A08),CL 2 - KR 32A,Calle Segunda Carrera 32 A,4.604314,-74.105253,Puente Aranda,8,Puente Aranda
Point,7100,64387,614A09,A,9,Terminal del Sur,Terminal Sur,7,Terminal Sur (614A09),Terminal Sur,Terminal Sur,4.59758,-74.175809,Bosa,9,Bosa
Point,7101,64388,615A00,A,0,Pl. Paloquemao,AK 27 - AC 19,14,AK 27 - AC 19 (615A00),AK 27 - AC 19,Avenida Carrera 27 Avenida Calle 19,4.61657,-74.085299,Los Mártires,0,Los Mártires
Point,7102,64389,615A01,A,1,Br. Toberín,Auto Norte - CL 166,1,Auto Norte - CL 166 (615A01),Auto Norte - CL 166,Autopista Norte Calle 166,4.747438,-74.046701,Usaquén,1,Usaquén
Point,7103,64390,615A03,A,3,Br. Niza Norte,CL 128B - TV 60,11,CL 128B - TV 60 (615A03),CL 128B - TV 60,Calle 128 Be Transversal 60,4.718329,-74.074563,Suba,3,Suba
Point,7104,64391,615A08,A,8,Br. Brisas de Sotavento,CL 2 - KR 35A,16,CL 2 - KR 35A (615A08),CL 2 - KR 35A,Calle Segunda Carrera 35 A,4.606087,-74.107585,Puente Aranda,8,Puente Aranda
Point,7105,64392,616A00,A,0,Br. Samper Mendoza,AK 27 - CL 23,14,AK 27 - CL 23 (616A00),AK 27 - CL 23,Avenida Carrera 27 Calle 23,4.621133,-74.081502,Los Mártires,0,Los Mártires
Point,7106,64393,616A01,A,1,Colegio Siervas de San José,AK 19 - AC 131,1,AK 19 - AC 131 (616A01),AK 19 - AC 131,Avenida Carrera 19 Avenida Calle 131,4.71518,-74.047701,Usaquén,1,Usaquén
Point,7107,64394,616A08,A,8,Urb. Bochica,AK 36  CL 1H,16,AK 36  CL 1H (616A08),AK 36  CL 1H,Avenida Carrera 36 Calle Primera H,4.606312,-74.108523,Puente Aranda,8,Puente Aranda
Point,7108,64395,616A09,A,9,Br. Guadalupe,Auto Sur - TV 62G,19,Auto Sur - TV 62G (616A09),Auto Sur - TV 62G,Autopista Sur Transversal 62 G,4.59629,-74.153092,Ciudad Bolivar,9,Ciudad Bolivar
Point,7109,64396,616A11,A,11,San Carlos,CL 53 Sur - KR 18 C,6,CL 53 Sur - KR 18 C (616A11),CL 53 Sur - KR 18 C,Calle 53 Sur Carrera 18 C,4.567495,-74.130311,Tunjuelito,11,Tunjuelito
Point,7110,64397,617A00,A,0,Br. Colombia,KR 19 - CL 70,12,KR 19 - CL 70 (617A00),KR 19 - CL 70,Carrera 19 Calle 70,4.658401,-74.06559,Barrios Unidos,0,Barrios Unidos
Point,7111,64398,617A01,A,1,Br. Tibabita,AK 9 - CL 193,1,AK 9 - CL 193 (617A01),AK 9 - CL 193,Avenida Carrera Novena Calle 193,4.769036,-74.031096,Usaquén,1,Usaquén
Point,7112,64399,617A03,A,3,Br. Sabana de Tibabuyes Norte,KR 128 - DG 146,11,KR 128 - DG 146 (617A03),KR 128 - DG 146,Carrera 128 Diagonal 146,4.755646,-74.106104,Suba,3,Suba
Point,7113,64400,617A09,A,9,Urb. Las delicias,Auto Sur - CL 44C Sur,8,Auto Sur - CL 44C Sur (617A09),Auto Sur - CL 44C Sur,Autopista Sur Calle 44 C Sur,4.595552,-74.144199,Kennedy,9,Kennedy
Point,7114,64401,617A11,A,11,Br. Arborizadora Baja,KR 38  Av. V/cio,19,KR 38  Av. V/cio (617A11),KR 38  Av. V/cio,Carrera 38 - Avenida Villavicencio,4.573149,-74.150729,Ciudad Bolivar,11,Ciudad Bolivar
Point,7115,64402,618A00,A,0,Br. Rafael Uribe,KR 19 - CL 67,12,KR 19 - CL 67 (618A00),KR 19 - CL 67,Carrera 19 Calle 67,4.656415,-74.066883,Barrios Unidos,0,Barrios Unidos
Point,7116,64403,618A01,A,1,Br. Cerros Norte KR 3,KR 3 - CL 160B,1,KR 3 - CL 160B (618A01),KR 3 - CL 160B,Carrera Tercera Calle 160 Be,4.734268,-74.020549,Usaquén,1,Usaquén
Point,7117,64404,618A03,A,3,Urb. La Fontana,CL 148 - KR 114G,11,CL 148 - KR 114G (618A03),CL 148 - KR 114G,Calle 148 Carrera 144 G,4.752427,-74.103269,Suba,3,Suba
Point,7118,64405,618A08,A,8,Br. Villa Inés,CL 2B  KR 37C,16,CL 2B  KR 37C (618A08),CL 2B  KR 37C,Calle Segunda Be Carrera 37 C,4.60809,-74.109698,Puente Aranda,8,Puente Aranda
Point,7119,64406,618A11,A,11,Br. Monterrey,KR 15 - CL 75B Sur,19,KR 15 - CL 75B Sur (618A11),KR 15 - CL 75B Sur,Carrera 15 Calle 75 Be Sur,4.53968,-74.135133,Ciudad Bolivar,11,Ciudad Bolivar
Point,7120,64407,619A01,A,1,Br. Cerros Norte KR 3,KR 3 - CL 160B,1,KR 3 - CL 160B (619A01),KR 3 - CL 160B,Carrera Tercera Calle 160 Be,4.734322,-74.020577,Usaquén,1,Usaquén
